Source,Target,Type,Id,Label,Weight
Janos-Slynt,Sansa-Stark,Undirected,1879,,3
Janos-Slynt,Samwell-Tarly,Undirected,1878,,7
Janos-Slynt,Robert-Baratheon,Undirected,1877,,4
Janos-Slynt,Pycelle,Undirected,1876,,3
Janos-Slynt,Petyr-Baelish,Undirected,1875,,8
Janos-Slynt,Mance-Rayder,Undirected,1873,,6
Janos-Slynt,Jon-Snow,Undirected,1872,,26
Jeor-Mormont,Yoren,Undirected,1913,,3
Jeor-Mormont,Samwell-Tarly,Undirected,1909,,51
Jeor-Mormont,Robert-Baratheon,Undirected,1908,,4
Jeor-Mormont,Mance-Rayder,Undirected,1904,,4
Jeor-Mormont,Jorah-Mormont,Undirected,1902,,3
Jeor-Mormont,Jon-Snow,Undirected,1901,,174
Craster,Jeor-Mormont,Undirected,1036,,30
Bran-Stark,Jeor-Mormont,Undirected,643,,4
Benjen-Stark,Jeor-Mormont,Undirected,555,,17
Joffrey-Baratheon,Yoren,Undirected,1975,,3
Joffrey-Baratheon,Varys,Undirected,1974,,37
Joffrey-Baratheon,Tywin-Lannister,Undirected,1973,,37
Joffrey-Baratheon,Tyrion-Lannister,Undirected,1972,,219
Joffrey-Baratheon,Tommen-Baratheon,Undirected,1971,,77
Joffrey-Baratheon,Stannis-Baratheon,Undirected,1969,,45
Joffrey-Baratheon,Selyse-Florent,Undirected,1966,,3
Joffrey-Baratheon,Sansa-Stark,Undirected,1965,,222
Joffrey-Baratheon,Sandor-Clegane,Undirected,1964,,71
Joffrey-Baratheon,Rodrik-Cassel,Undirected,1963,,9
Joffrey-Baratheon,Robert-Baratheon,Undirected,1962,,64
Joffrey-Baratheon,Robb-Stark,Undirected,1961,,49
Joffrey-Baratheon,Renly-Baratheon,Undirected,1960,,25
Joffrey-Baratheon,Pycelle,Undirected,1957,,19
Joffrey-Baratheon,Petyr-Baelish,Undirected,1955,,39
Joffrey-Baratheon,Oberyn-Martell,Undirected,1951,,8
Joffrey-Baratheon,Myrcella-Baratheon,Undirected,1950,,30
Joffrey-Baratheon,Melisandre,Undirected,1946,,4
Joffrey-Baratheon,Margaery-Tyrell,Undirected,1945,,56
Joffrey-Baratheon,Mance-Rayder,Undirected,1943,,5
Joffrey-Baratheon,Mace-Tyrell,Undirected,1942,,17
Joffrey-Baratheon,Jon-Snow,Undirected,1938,,14
Janos-Slynt,Joffrey-Baratheon,Undirected,1871,,14
Gregor-Clegane,Joffrey-Baratheon,Undirected,1546,,12
Eddard-Stark,Joffrey-Baratheon,Undirected,1311,,41
Davos-Seaworth,Joffrey-Baratheon,Undirected,1172,,10
Catelyn-Stark,Joffrey-Baratheon,Undirected,817,,11
Brienne-of-Tarth,Joffrey-Baratheon,Undirected,709,,4
Bran-Stark,Joffrey-Baratheon,Undirected,644,,6
Barristan-Selmy,Joffrey-Baratheon,Undirected,486,,13
